,Restaurant,Type,Yelp,Notes
27,Joe’s,Pizza,https://www.yelp.com/biz/joes-shanghai-new-york-2?adjust_creative=piqd968yUGHQDL1ei6gj2w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=piqd968yUGHQDL1ei6gj2w,
28,Keste Pizza e Vino,Pizza,https://www.yelp.com/biz/kest%C3%A9-pizza-and-vino-new-york-2?adjust_creative=piqd968yUGHQDL1ei6gj2w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=piqd968yUGHQDL1ei6gj2w,
29,Emily,Pizza,https://www.yelp.com/biz/emily-brooklyn?adjust_creative=piqd968yUGHQDL1ei6gj2w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=piqd968yUGHQDL1ei6gj2w,
30,Prince St. Pizza,Pizza,https://www.yelp.com/biz/prince-street-pizza-new-york-2?adjust_creative=piqd968yUGHQDL1ei6gj2w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=piqd968yUGHQDL1ei6gj2w,
31,Spumoni Gardens,Pizza,https://www.yelp.com/biz/l-and-b-spumoni-gardens-brooklyn?adjust_creative=piqd968yUGHQDL1ei6gj2w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=piqd968yUGHQDL1ei6gj2w,
32,,,https://www.yelp.com/biz/nan-xiang-xiao-long-bao-flushing?adjust_creative=piqd968yUGHQDL1ei6gj2w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=piqd968yUGHQDL1ei6gj2w,
33,Frozen Treats,,https://www.yelp.com/biz/frozen-sweet-new-york?adjust_creative=piqd968yUGHQDL1ei6gj2w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=piqd968yUGHQDL1ei6gj2w,
34,Momofuku Milk Bar,Frozen Treats,https://www.yelp.com/biz/milk-bar-east-village-new-york?adjust_creative=piqd968yUGHQDL1ei6gj2w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=piqd968yUGHQDL1ei6gj2w,
35,Morgenstern’s Finest Ice Cream,Frozen Treats,https://www.yelp.com/biz/morgensterns-finest-ice-cream-new-york-2?adjust_creative=piqd968yUGHQDL1ei6gj2w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=piqd968yUGHQDL1ei6gj2w,
36,Gotham West Market ,Frozen Treats,https://www.yelp.com/biz/gotham-west-market-new-york?adjust_creative=piqd968yUGHQDL1ei6gj2w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=piqd968yUGHQDL1ei6gj2w,
37,Dominique Ansel Kitchen,Frozen Treats,https://www.yelp.com/biz/dominique-ansel-kitchen-new-york?adjust_creative=piqd968yUGHQDL1ei6gj2w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=piqd968yUGHQDL1ei6gj2w,
38,Melt Bakery,Frozen Treats,https://www.yelp.com/biz/melt-bakery-new-york-2?adjust_creative=piqd968yUGHQDL1ei6gj2w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=piqd968yUGHQDL1ei6gj2w,
39,Chinatown Ice Cream Factory,Frozen Treats,https://www.yelp.com/biz/chinatown-ice-cream-factory-new-york?adjust_creative=piqd968yUGHQDL1ei6gj2w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=piqd968yUGHQDL1ei6gj2w,
40,Chloe’s Soft Serve,Frozen Treats,https://www.yelp.com/biz/chloes-soft-serve-fruit-co-new-york-4?adjust_creative=piqd968yUGHQDL1ei6gj2w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=piqd968yUGHQDL1ei6gj2w,
41,Ample Hills Creamery,Frozen Treats,https://www.yelp.com/biz/ample-hills-creamery-new-york-2?adjust_creative=piqd968yUGHQDL1ei6gj2w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=piqd968yUGHQDL1ei6gj2w,
42,Oddfellows Ice Cream,Frozen Treats,https://www.yelp.com/biz/oddfellows-ice-cream-co-new-york-8?adjust_creative=piqd968yUGHQDL1ei6gj2w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=piqd968yUGHQDL1ei6gj2w,
43,Sundaes & Cones,Frozen Treats,https://www.yelp.com/biz/sundaes-and-cones-new-york?adjust_creative=piqd968yUGHQDL1ei6gj2w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=piqd968yUGHQDL1ei6gj2w,
44,Snowdays Shavery,Frozen Treats,https://www.yelp.com/biz/snowdays-new-york?adjust_creative=piqd968yUGHQDL1ei6gj2w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=piqd968yUGHQDL1ei6gj2w,
45,Dolce Gelateria,Frozen Treats,https://www.yelp.com/biz/dolce-brooklyn-brooklyn-2?adjust_creative=piqd968yUGHQDL1ei6gj2w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=piqd968yUGHQDL1ei6gj2w,
46,Milk & Cookies Bakery,Frozen Treats,https://www.yelp.com/biz/milk-and-cookies-new-york-2?adjust_creative=piqd968yUGHQDL1ei6gj2w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=piqd968yUGHQDL1ei6gj2w,
47,L’Arte del Gelato,Frozen Treats,https://www.yelp.com/biz/l-arte-del-gelato-new-york?adjust_creative=piqd968yUGHQDL1ei6gj2w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=piqd968yUGHQDL1ei6gj2w,
48,Grom,Frozen Treats,https://www.yelp.com/biz/grom-new-york-3?adjust_creative=piqd968yUGHQDL1ei6gj2w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=piqd968yUGHQDL1ei6gj2w,
49,Gansevoort Market,Frozen Treats,https://www.yelp.com/biz/gansevoort-market-new-york-2?adjust_creative=piqd968yUGHQDL1ei6gj2w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=piqd968yUGHQDL1ei6gj2w,
50,popbar,Frozen Treats,https://www.yelp.com/biz/popbar-new-york?adjust_creative=piqd968yUGHQDL1ei6gj2w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=piqd968yUGHQDL1ei6gj2w,
51,,,https://www.yelp.com/biz/nan-xiang-xiao-long-bao-flushing?adjust_creative=piqd968yUGHQDL1ei6gj2w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=piqd968yUGHQDL1ei6gj2w,
52,DONUTS,,https://www.yelp.com/biz/doughnut-plant-new-york-4?adjust_creative=piqd968yUGHQDL1ei6gj2w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=piqd968yUGHQDL1ei6gj2w,
53,Doughnut Plant,Donuts,https://www.yelp.com/biz/doughnut-plant-new-york-4?adjust_creative=piqd968yUGHQDL1ei6gj2w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=piqd968yUGHQDL1ei6gj2w,
54,Dough,Donuts,https://www.yelp.com/biz/dough-new-york-2?adjust_creative=piqd968yUGHQDL1ei6gj2w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=piqd968yUGHQDL1ei6gj2w,
55,Dun Well Doughnuts,Donuts,https://www.yelp.com/biz/dun-well-doughnuts-new-york-3?adjust_creative=piqd968yUGHQDL1ei6gj2w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=piqd968yUGHQDL1ei6gj2w,
56,,,https://www.yelp.com/biz/nan-xiang-xiao-long-bao-flushing?adjust_creative=piqd968yUGHQDL1ei6gj2w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=piqd968yUGHQDL1ei6gj2w,
57,CAKES/CUPCAKES/PIE,,https://www.yelp.com/biz/two-little-red-hens-new-york-4?adjust_creative=piqd968yUGHQDL1ei6gj2w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=piqd968yUGHQDL1ei6gj2w,
58,Lady M Confections,Cakes ,https://www.yelp.com/biz/lady-m-cake-boutique-new-york?adjust_creative=piqd968yUGHQDL1ei6gj2w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=piqd968yUGHQDL1ei6gj2w,
59,Molly’s Cupcakes,Cakes ,https://www.yelp.com/biz/mollys-cupcakes-new-york?adjust_creative=piqd968yUGHQDL1ei6gj2w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=piqd968yUGHQDL1ei6gj2w,
60,Little Cupcake Bakeshop,Cakes ,https://www.yelp.com/biz/little-cupcake-bakeshop-new-york-2?adjust_creative=piqd968yUGHQDL1ei6gj2w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=piqd968yUGHQDL1ei6gj2w,
61,Eileen’s Special Cheesecake,Cakes ,https://www.yelp.com/biz/eileens-special-cheesecake-new-york?adjust_creative=piqd968yUGHQDL1ei6gj2w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=piqd968yUGHQDL1ei6gj2w,
62,Two Little Red Hens,Cakes ,https://www.yelp.com/biz/two-little-red-hens-new-york-4?adjust_creative=piqd968yUGHQDL1ei6gj2w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=piqd968yUGHQDL1ei6gj2w,
63,Four & Twenty Blackbirds,Cakes ,https://www.yelp.com/biz/four-and-twenty-blackbirds-brooklyn?adjust_creative=piqd968yUGHQDL1ei6gj2w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=piqd968yUGHQDL1ei6gj2w,
64,Petee’s Pie Co.,Cakes ,https://www.yelp.com/biz/petees-pie-company-new-york?adjust_creative=piqd968yUGHQDL1ei6gj2w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=piqd968yUGHQDL1ei6gj2w,
65,,,https://www.yelp.com/biz/nan-xiang-xiao-long-bao-flushing?adjust_creative=piqd968yUGHQDL1ei6gj2w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=piqd968yUGHQDL1ei6gj2w,
66,COFFEE SHOPS,,https://www.yelp.com/biz/coffee-project-new-york-new-york?adjust_creative=piqd968yUGHQDL1ei6gj2w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=piqd968yUGHQDL1ei6gj2w,
67,La Colombe Torrefaction,Coffee,https://www.yelp.com/biz/la-colombe-coffee-new-york-2?adjust_creative=piqd968yUGHQDL1ei6gj2w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=piqd968yUGHQDL1ei6gj2w,
68,Stumptown Coffee Roasters,Coffee,https://www.yelp.com/biz/stumptown-coffee-roasters-new-york-2?adjust_creative=piqd968yUGHQDL1ei6gj2w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=piqd968yUGHQDL1ei6gj2w,
69,Chalait,Coffee,https://www.yelp.com/biz/chalait-new-york-8?adjust_creative=piqd968yUGHQDL1ei6gj2w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=piqd968yUGHQDL1ei6gj2w,
70,Bibble & Sip,Coffee,https://www.yelp.com/biz/bibble-and-sip-new-york-2?adjust_creative=piqd968yUGHQDL1ei6gj2w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=piqd968yUGHQDL1ei6gj2w,
71,Coffee RX ,Coffee,https://www.yelp.com/biz/coffee-rx-brooklyn?adjust_creative=piqd968yUGHQDL1ei6gj2w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=piqd968yUGHQDL1ei6gj2w,
72,,,https://www.yelp.com/biz/nan-xiang-xiao-long-bao-flushing?adjust_creative=piqd968yUGHQDL1ei6gj2w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=piqd968yUGHQDL1ei6gj2w,
73,FUSION,,https://www.yelp.com/biz/rabbit-house-new-york?adjust_creative=piqd968yUGHQDL1ei6gj2w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=piqd968yUGHQDL1ei6gj2w,
74,Red Farm,Fusion,https://www.yelp.com/biz/redfarm-new-york-2?adjust_creative=piqd968yUGHQDL1ei6gj2w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=piqd968yUGHQDL1ei6gj2w,
75,Mooncake Foods,Fusion,https://www.yelp.com/biz/mooncake-foods-new-york?adjust_creative=piqd968yUGHQDL1ei6gj2w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=piqd968yUGHQDL1ei6gj2w,
